,Object,Epoch (TDB),TP (TDB),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),MOID (AU),A1 (AU/d^2),A2 (AU/d^2),A3 (AU/d^2),DT (d),ref,Object_name
139,P/2002 S7 (SOHO),53592.0,2452538.404,0.9848618681,13.57497488,52.15494545,50.19576776,0.04879857033,6.4,5.79,0.114603,0.114603,0.114603,0.114603,0.114603,3,P/2002 S7 (SOHO)
140,P/2003 T12 (SOHO),55968.0,2455952.953,0.7764221763,11.4758078,217.6773881,176.46509890000002,0.5748399462,4.57,4.12,0.15423199999999998,0.15423199999999998,0.15423199999999998,0.15423199999999998,0.15423199999999998,5,P/2003 T12 (SOHO)
141,P/2005 T4 (SWAN),53667.0,2453654.037,0.930297059,160.0361801,41.44353425,25.42228788,0.6493994391,17.98,28.44,0.15726099999999998,0.15726099999999998,0.15726099999999998,0.15726099999999998,0.15726099999999998,6,P/2005 T4 (SWAN)
142,P/2005 W4 (SOHO),54203.0,2453697.986,0.9822675576000001,14.5962755,49.40000591,53.00487076,0.05398035994,6.03,5.31,0.107655,0.0538274999627,-7.459999999999999e-11,-7.459999999999999e-11,-7.459999999999999e-11,2,P/2005 W4 (SOHO)
143,P/2006 HR30 (Siding Spring),54046.0,2454102.7819999997,0.8431183899,31.88449913,117.4138753,309.9521628,1.226427704,14.41,21.86,0.45290699999999995,0.45290699999999995,0.45290699999999995,0.45290699999999995,0.45290699999999995,87,P/2006 HR30 (Siding Spring)
144,P/2007 T2 (Kowalski),54417.0,2454362.5209999997,0.7748340855,9.895275619,358.5515716,3.994965765,0.6958627479999999,5.49,5.43,0.156276,0.156276,0.156276,0.156276,0.156276,17,P/2007 T2 (Kowalski)
145,P/2008 Y1 (Boattini),54846.0,2454887.597,0.7348817591,8.805148715,162.3648341,259.7096838,1.27197954,8.32,10.51,0.289617,0.289617,0.289617,0.289617,0.289617,13,P/2008 Y1 (Boattini)
146,P/2008 Y12 (SOHO),55476.0,2454822.977,0.9787495375,23.34562318,146.6141611,312.55259069999994,0.06541368648,6.09,5.4,0.044832,0.044832,0.044832,0.044832,0.044832,4,P/2008 Y12 (SOHO)
147,P/2009 L2 (Yang-Gao),55023.0,2454973.255,0.6209298159000001,16.15851413,346.954318,259.3047568,1.296125756,5.54,6.32,0.287493,0.287493,0.287493,0.287493,0.287493,20,P/2009 L2 (Yang-Gao)
148,P/2009 WX51 (Catalina),55175.0,2455227.575,0.7402970340999999,9.592585691,118.0163889,31.75826735,0.7999555439,5.36,5.41,0.009226999999999999,0.009226999999999999,0.009226999999999999,0.009226999999999999,0.009226999999999999,19,P/2009 WX51 (Catalina)
149,C/2010 L5 (WISE),55379.0,2455309.645,0.9037561917,147.051681,214.729745,206.47309909999998,0.7909008329,15.64,23.56,0.11360899999999999,0.11360899999999999,0.11360899999999999,0.11360899999999999,0.11360899999999999,6,C/2010 L5 (WISE)
